trip_id,start_time,end_time,headway_secs
"242","14:53:00","15:02:00","540"
"242","15:02:00","15:10:00","480"
"242","15:10:00","15:19:00","540"
"242","15:19:00","15:27:00","480"
"242","15:27:00","15:36:00","540"
"242","15:36:00","15:44:00","480"
"242","15:44:00","15:53:00","540"
"242","15:53:00","16:01:00","480"
"242","16:01:00","16:10:00","540"
"242","16:10:00","16:18:00","480"
"242","16:18:00","16:27:00","540"
"242","16:27:00","16:35:00","480"
"242","16:35:00","16:44:00","540"
"242","16:44:00","17:00:00","480"
"242","17:00:00","17:15:00","300"
"242","17:15:00","17:19:00","240"
"242","17:19:00","17:44:00","300"
"242","17:44:00","17:48:00","240"
"242","17:48:00","18:13:00","300"
"242","18:13:00","18:17:00","240"
"242","18:17:00","18:42:00","300"
"242","18:42:00","18:46:00","240"
"242","18:46:00","19:11:00","300"
"242","19:11:00","19:15:00","240"
"242","19:15:00","19:40:00","300"
"242","19:40:00","19:44:00","240"
"242","19:44:00","19:59:00","300"
"242","19:59:00","20:00:00","60"
"242","20:00:00","20:06:00","360"
"242","20:06:00","20:13:00","420"
"242","20:13:00","20:19:00","360"
"242","20:19:00","20:26:00","420"
"242","20:26:00","20:32:00","360"
"242","20:32:00","20:39:00","420"
"242","20:39:00","20:51:00","360"
"242","20:51:00","20:58:00","420"
"242","20:58:00","21:00:00","120"
"242","21:00:00","21:10:00","600"
"242","21:10:00","21:19:00","540"
"242","21:19:00","21:29:00","600"
"242","21:29:00","21:38:00","540"
"242","21:38:00","21:48:00","600"
"242","21:48:00","21:57:00","540"
"242","21:57:00","22:07:00","600"
"242","22:07:00","22:16:00","540"
"242","22:16:00","22:26:00","600"
"242","22:26:00","22:35:00","540"
"242","22:35:00","22:45:00","600"
"242","22:45:00","22:54:00","540"
"242","22:54:00","23:04:00","600"
"242","23:04:00","23:13:00","540"
"242","23:13:00","23:23:00","600"
"242","23:23:00","23:32:00","540"
"242","23:32:00","23:42:00","600"
"242","23:42:00","23:51:00","540"
"243","05:30:00","05:44:00","420"
"243","05:44:00","05:52:00","480"
"243","05:52:00","06:20:00","420"
"243","06:20:00","06:28:00","480"
"243","06:28:00","06:30:00","120"
"243","06:30:00","06:45:00","300"
"243","06:45:00","06:49:00","240"
"243","06:49:00","07:14:00","300"
"243","07:14:00","07:18:00","240"
"243","07:18:00","07:43:00","300"
"243","07:43:00","07:47:00","240"
"243","07:47:00","08:12:00","300"
"243","08:12:00","08:16:00","240"
"243","08:16:00","08:26:00","300"
"243","08:26:00","08:30:00","240"
"243","08:30:00","08:36:00","360"
"243","08:36:00","08:43:00","420"
"243","08:43:00","08:49:00","360"
"243","08:49:00","08:56:00","420"
"243","08:56:00","09:02:00","360"
"243","09:02:00","09:09:00","420"
"243","09:09:00","09:21:00","360"
"243","09:21:00","09:28:00","420"
"243","09:28:00","09:30:00","120"
"243","09:30:00","09:39:00","540"
"243","09:39:00","09:47:00","480"
"243","09:47:00","09:56:00","540"
"243","09:56:00","10:04:00","480"
"243","10:04:00","10:13:00","540"
"243","10:13:00","10:21:00","480"
"243","10:21:00","10:30:00","540"
"243","10:30:00","10:38:00","480"
"243","10:38:00","10:47:00","540"
"243","10:47:00","10:55:00","480"
"243","10:55:00","11:04:00","540"
"243","11:04:00","11:12:00","480"
"243","11:12:00","11:21:00","540"
"243","11:21:00","11:29:00","480"
"243","11:29:00","11:38:00","540"
"243","11:38:00","11:46:00","480"
"243","11:46:00","11:55:00","540"
"243","11:55:00","12:03:00","480"
"243","12:03:00","12:12:00","540"
"243","12:12:00","12:20:00","480"
"243","12:20:00","12:29:00","540"
"243","12:29:00","12:37:00","480"
"243","12:37:00","12:46:00","540"
"243","12:46:00","12:54:00","480"
"243","12:54:00","13:03:00","540"
"243","13:03:00","13:11:00","480"
"243","13:11:00","13:20:00","540"
"243","13:20:00","13:28:00","480"
"243","13:28:00","13:37:00","540"
"243","13:37:00","13:45:00","480"
"243","13:45:00","13:54:00","540"
"243","13:54:00","14:02:00","480"
"243","14:02:00","14:11:00","540"
"243","14:11:00","14:19:00","480"
"243","14:19:00","14:28:00","540"
"243","14:28:00","14:36:00","480"
"243","14:36:00","14:45:00","540"
"243","14:45:00","14:53:00","480"
"243","14:53:00","15:02:00","540"
"243","15:02:00","15:10:00","480"
"243","15:10:00","15:19:00","540"
"243","15:19:00","15:27:00","480"
"243","15:27:00","15:36:00","540"
"243","15:36:00","15:44:00","480"
"243","15:44:00","15:53:00","540"
"243","15:53:00","16:01:00","480"
"243","16:01:00","16:10:00","540"
"243","16:10:00","16:18:00","480"
"243","16:18:00","16:27:00","540"
"243","16:27:00","16:35:00","480"
"243","16:35:00","16:44:00","540"
"243","16:44:00","17:00:00","480"
"243","17:00:00","17:15:00","300"
"243","17:15:00","17:19:00","240"
"243","17:19:00","17:44:00","300"
"243","17:44:00","17:48:00","240"
"243","17:48:00","18:13:00","300"
"243","18:13:00","18:17:00","240"
"243","18:17:00","18:42:00","300"
"243","18:42:00","18:46:00","240"
"243","18:46:00","19:11:00","300"
"243","19:11:00","19:15:00","240"
"243","19:15:00","19:40:00","300"
"243","19:40:00","19:44:00","240"
"243","19:44:00","19:59:00","300"
"243","19:59:00","20:00:00","60"
"243","20:00:00","20:06:00","360"
"243","20:06:00","20:13:00","420"
"243","20:13:00","20:19:00","360"
"243","20:19:00","20:26:00","420"
"243","20:26:00","20:32:00","360"
"243","20:32:00","20:39:00","420"
"243","20:39:00","20:51:00","360"
"243","20:51:00","20:58:00","420"
"243","20:58:00","21:00:00","120"
"243","21:00:00","21:10:00","600"
"243","21:10:00","21:19:00","540"
"243","21:19:00","21:29:00","600"
"243","21:29:00","21:38:00","540"
"243","21:38:00","21:48:00","600"
"243","21:48:00","21:57:00","540"
"243","21:57:00","22:07:00","600"
"243","22:07:00","22:16:00","540"
"243","22:16:00","22:26:00","600"
"243","22:26:00","22:35:00","540"
"243","22:35:00","22:45:00","600"
"243","22:45:00","22:54:00","540"
"243","22:54:00","23:04:00","600"
"243","23:04:00","23:13:00","540"
"243","23:13:00","23:23:00","600"
"243","23:23:00","23:32:00","540"
"243","23:32:00","23:42:00","600"
"243","23:42:00","23:51:00","540"
"244","06:00:00","06:10:00","600"
"244","06:10:00","06:19:00","540"
"244","06:19:00","06:29:00","600"
"244","06:29:00","06:38:00","540"
"244","06:38:00","06:48:00","600"
"244","06:48:00","06:57:00","540"
"244","06:57:00","07:07:00","600"
"244","07:07:00","07:16:00","540"
"244","07:16:00","07:26:00","600"
"244","07:26:00","07:35:00","540"
"244","07:35:00","07:45:00","600"
"244","07:45:00","07:54:00","540"
"244","07:54:00","08:04:00","600"
"244","08:04:00","08:13:00","540"
"244","08:13:00","08:23:00","600"
"244","08:23:00","08:32:00","540"
"244","08:32:00","08:42:00","600"
"244","08:42:00","08:51:00","540"
"244","08:51:00","09:01:00","600"
"244","09:01:00","09:10:00","540"
"244","09:10:00","09:20:00","600"
"244","09:20:00","09:29:00","540"
"244","09:29:00","09:39:00","600"
"244","09:39:00","09:48:00","540"
"244","09:48:00","09:58:00","600"
"244","09:58:00","10:07:00","540"
"244","10:07:00","10:17:00","600"
"244","10:17:00","10:26:00","540"
"244","10:26:00","10:36:00","600"
"244","10:36:00","10:45:00","540"
"244","10:45:00","10:55:00","600"
"244","10:55:00","11:04:00","540"
"244","11:04:00","11:14:00","600"
"244","11:14:00","11:23:00","540"
"244","11:23:00","11:33:00","600"
"244","11:33:00","11:42:00","540"
"244","11:42:00","11:52:00","600"
"244","11:52:00","12:01:00","540"
"244","12:01:00","12:11:00","600"
"244","12:11:00","12:20:00","540"
"244","12:20:00","12:30:00","600"
"244","12:30:00","12:39:00","540"
"244","12:39:00","12:49:00","600"
"244","12:49:00","12:58:00","540"
"244","12:58:00","13:08:00","600"
"244","13:08:00","13:17:00","540"
"244","13:17:00","13:27:00","600"
"244","13:27:00","13:36:00","540"
"244","13:36:00","13:46:00","600"
"244","13:46:00","13:55:00","540"
"244","13:55:00","14:05:00","600"
"244","14:05:00","14:14:00","540"
"244","14:14:00","14:24:00","600"
"244","14:24:00","14:33:00","540"
"244","14:33:00","14:43:00","600"
"244","14:43:00","14:52:00","540"
"244","14:52:00","15:02:00","600"
"244","15:02:00","15:11:00","540"
"244","15:11:00","15:21:00","600"
"244","15:21:00","15:30:00","540"
"244","15:30:00","15:40:00","600"
"244","15:40:00","15:49:00","540"
"244","15:49:00","15:59:00","600"
"244","15:59:00","16:08:00","540"
"244","16:08:00","16:18:00","600"
"244","16:18:00","16:27:00","540"
"244","16:27:00","16:37:00","600"
"244","16:37:00","16:46:00","540"
"244","16:46:00","16:56:00","600"
"244","16:56:00","17:05:00","540"
"244","17:05:00","17:15:00","600"
"244","17:15:00","17:24:00","540"
"244","17:24:00","17:34:00","600"
"244","17:34:00","17:43:00","540"
"244","17:43:00","17:53:00","600"
"244","17:53:00","18:02:00","540"
"244","18:02:00","18:12:00","600"
"244","18:12:00","18:21:00","540"
"244","18:21:00","18:31:00","600"
"244","18:31:00","18:40:00","540"
"244","18:40:00","18:50:00","600"
"244","18:50:00","18:59:00","540"
"244","18:59:00","19:09:00","600"
"244","19:09:00","19:18:00","540"
"244","19:18:00","19:28:00","600"
"244","19:28:00","19:37:00","540"
"244","19:37:00","19:47:00","600"
"244","19:47:00","19:56:00","540"
"244","19:56:00","20:06:00","600"
"244","20:06:00","20:15:00","540"
"244","20:15:00","20:25:00","600"
"244","20:25:00","20:34:00","540"
"244","20:34:00","20:44:00","600"
"244","20:44:00","20:53:00","540"
"244","20:53:00","21:03:00","600"
"244","21:03:00","21:12:00","540"
"244","21:12:00","21:22:00","600"
"244","21:22:00","21:31:00","540"
"244","21:31:00","21:41:00","600"
"244","21:41:00","21:50:00","540"
"244","21:50:00","22:00:00","600"
"244","22:00:00","22:09:00","540"
"244","22:09:00","22:19:00","600"
"244","22:19:00","22:28:00","540"
"244","22:28:00","22:38:00","600"
"244","22:38:00","22:47:00","540"
"244","22:47:00","22:57:00","600"
"244","22:57:00","23:06:00","540"
"244","23:06:00","23:16:00","600"
"244","23:16:00","23:25:00","540"
"244","23:25:00","23:35:00","600"
"244","23:35:00","23:44:00","540"
"244","23:44:00","23:54:00","600"
"245","06:00:00","06:10:00","600"
"245","06:10:00","06:19:00","540"
"245","06:19:00","06:29:00","600"
"245","06:29:00","06:38:00","540"
"245","06:38:00","06:48:00","600"
"245","06:48:00","06:57:00","540"
"245","06:57:00","07:07:00","600"
"245","07:07:00","07:16:00","540"
"245","07:16:00","07:26:00","600"
"245","07:26:00","07:35:00","540"
"245","07:35:00","07:45:00","600"
"245","07:45:00","07:54:00","540"
"245","07:54:00","08:04:00","600"
"245","08:04:00","08:13:00","540"
"245","08:13:00","08:23:00","600"
"245","08:23:00","08:32:00","540"
"245","08:32:00","08:42:00","600"
"245","08:42:00","08:51:00","540"
"245","08:51:00","09:01:00","600"
"245","09:01:00","09:10:00","540"
"245","09:10:00","09:20:00","600"
"245","09:20:00","09:29:00","540"
"245","09:29:00","09:39:00","600"
"245","09:39:00","09:48:00","540"
"245","09:48:00","09:58:00","600"
"245","09:58:00","10:07:00","540"
"245","10:07:00","10:17:00","600"
"245","10:17:00","10:26:00","540"
"245","10:26:00","10:36:00","600"
"245","10:36:00","10:45:00","540"
"245","10:45:00","10:55:00","600"
"245","10:55:00","11:04:00","540"
"245","11:04:00","11:14:00","600"
"245","11:14:00","11:23:00","540"
"245","11:23:00","11:33:00","600"
"245","11:33:00","11:42:00","540"
"245","11:42:00","11:52:00","600"
"245","11:52:00","12:01:00","540"
"245","12:01:00","12:11:00","600"
"245","12:11:00","12:20:00","540"
"245","12:20:00","12:30:00","600"
"245","12:30:00","12:39:00","540"
"245","12:39:00","12:49:00","600"
"245","12:49:00","12:58:00","540"
"245","12:58:00","13:08:00","600"
"245","13:08:00","13:17:00","540"
"245","13:17:00","13:27:00","600"
"245","13:27:00","13:36:00","540"
